Date,Category,Amount,Day of the Week,Description
2022-02-06 18:32:00,food,125.0,Unknown,Unknown
2022-02-06 17:53:00,food,150.0,Unknown,Unknown
2022-02-06 17:52:00,transportation,1000.0,Unknown,Unknown
2022-02-06 16:41:00,other,5000.0,Unknown,Unknown
2022-02-06 16:40:00,other,1500.0,Unknown,Unknown
2022-02-04 20:28:00,food,80.0,Unknown,Unknown
2022-02-03 14:53:00,food,50.0,Unknown,Unknown
2022-02-03 08:59:00,other,150.0,Unknown,Unknown
2022-02-02 20:15:00,food,120.0,Unknown,Unknown
2022-02-02 20:14:00,other,500.0,Unknown,Unknown
2022-01-31 08:44:00,transportation,50.0,Unknown,Unknown
2022-01-31 08:27:00,other,200.0,Unknown,Unknown
2022-01-31 08:26:00,transportation,153.0,Unknown,Unknown
2022-01-30 19:17:00,food,155.0,Unknown,Unknown
2022-01-30 19:01:00,food,120.0,Unknown,Unknown
2022-01-30 12:28:00,food,105.0,Unknown,Unknown
2022-01-29 21:56:00,transportation,44.0,Unknown,Unknown
2022-01-29 14:44:00,other,100.0,Unknown,Unknown
2022-01-28 21:58:00,food,10.0,Unknown,Unknown
2022-01-28 14:23:00,food,138.0,Unknown,Unknown
2022-01-27 21:25:00,transportation,43.0,Unknown,Unknown
2022-01-27 13:41:00,other,300.0,Unknown,Unknown
2022-01-27 13:41:00,other,100.0,Unknown,Unknown
2022-01-27 13:39:00,food,279.0,Unknown,Unknown
2022-01-27 13:38:00,other,300.0,Unknown,Unknown
2022-01-27 13:38:00,other,1500.0,Unknown,Unknown
2022-01-26 17:45:00,food,115.0,Unknown,Unknown
2022-01-26 17:45:00,other,125.0,Unknown,Unknown
2022-01-26 16:52:00,food,25.0,Unknown,Unknown
2022-01-25 13:35:00,food,259.0,Unknown,Unknown
2022-01-25 10:23:00,food,18.0,Unknown,Unknown
2022-01-25 09:20:00,transportation,325.0,Unknown,Unknown
2022-01-24 20:17:00,food,40.0,Unknown,Unknown
2022-01-24 14:08:00,food,133.0,Unknown,Unknown
2022-01-23 21:45:00,food,40.0,Unknown,Unknown
2022-01-23 21:41:00,food,465.0,Unknown,Unknown
2022-01-23 21:29:00,food,300.0,Unknown,Unknown
2022-01-23 21:29:00,food,302.0,Unknown,Unknown
2022-01-23 21:29:00,other,310.0,Unknown,Unknown
2022-01-23 21:27:00,food,176.0,Unknown,Unknown
2022-01-23 21:27:00,social life,200.0,Unknown,Unknown
2022-01-23 21:27:00,other,2000.0,Unknown,Unknown
2022-01-21 14:22:00,food,188.0,Unknown,Unknown
2022-01-21 11:47:00,food,37.0,Unknown,Unknown
2022-01-21 11:47:00,other,200.0,Unknown,Unknown
2022-01-19 14:27:00,food,171.0,Unknown,Unknown
2022-01-18 20:54:00,food,301.15,Unknown,Unknown
2022-01-18 17:10:00,food,59.0,Unknown,Unknown
2022-01-18 13:51:00,food,148.0,Unknown,Unknown
2022-01-18 12:59:00,other,200.0,Unknown,Unknown
2022-01-18 12:59:00,other,1000.0,Unknown,Unknown
2022-01-17 18:31:00,food,100.0,Unknown,Unknown
2022-01-15 21:17:00,transportation,1365.0,Unknown,Unknown
2022-01-15 21:16:00,other,1500.0,Unknown,Unknown
2022-01-15 21:16:00,food,70.0,Unknown,Unknown
2022-01-14 16:58:00,other,170.0,Unknown,Unknown
2022-01-14 16:56:00,other,70.0,Unknown,Unknown
2022-01-14 16:56:00,other,340.0,Unknown,Unknown
2022-01-14 16:55:00,other,240.0,Unknown,Unknown
2022-01-14 16:54:00,other,340.0,Unknown,Unknown
2022-01-14 16:54:00,food,1530.0,Unknown,Unknown
2022-01-13 20:46:00,food,66.0,Unknown,Unknown
2022-01-13 19:10:00,other,1000.0,Unknown,Unknown
2022-01-13 17:47:00,transportation,43.0,Unknown,Unknown
2022-01-12 22:44:00,other,479.0,Unknown,Unknown
2022-01-12 13:25:00,food,301.75,Unknown,Unknown
2022-01-12 13:25:00,other,200.0,Unknown,Unknown
2022-01-11 14:07:00,food,135.5,Unknown,Unknown
2022-01-10 14:04:00,food,106.0,Unknown,Unknown
2022-01-08 13:46:00,other,260.0,Unknown,Unknown
2022-01-08 13:45:00,food,535.3,Unknown,Unknown
2022-01-08 13:38:00,household,4580.0,Unknown,Unknown
2022-01-07 13:51:00,food,15.0,Unknown,Unknown
2022-01-06 21:30:00,other,440.0,Unknown,Unknown
2022-01-06 20:58:00,food,20.0,Unknown,Unknown
2022-01-06 20:13:00,food,877.81,Unknown,Unknown
2022-01-06 14:22:00,food,10.0,Unknown,Unknown
2022-01-06 11:48:00,transportation,42.0,Unknown,Unknown
2022-01-05 20:23:00,food,211.0,Unknown,Unknown
2022-01-05 14:46:00,other,40.0,Unknown,Unknown
2022-01-05 14:42:00,other,30.0,Unknown,Unknown
2022-01-05 14:42:00,food,354.0,Unknown,Unknown
2022-01-05 14:39:00,other,500.0,Unknown,Unknown
2022-01-05 14:37:00,other,500.0,Unknown,Unknown
2022-01-05 14:35:00,transportation,60.0,Unknown,Unknown
